,D##LENGTH##MILLIMETERS,P##LENGTH##MILLIMETERS,H##LENGTH##MILLIMETERS,d2##LENGTH##MILLIMETERS,s##LENGTH##MILLIMETERS,k##LENGTH##MILLIMETERS,a##LENGTH##MILLIMETERS,b2##LENGTH##MILLIMETERS,b3##LENGTH##MILLIMETERS,b4##LENGTH##MILLIMETERS,du1##LENGTH##MILLIMETERS,du2##LENGTH##MILLIMETERS,u##LENGTH##MILLIMETERS,dh1##LENGTH##MILLIMETERS,dh2##LENGTH##MILLIMETERS,dh3##LENGTH##MILLIMETERS
M3,3,0.5,0.43,2.68,5.5,2,1.5,12,18,31,3.2,7,0.5,3.2,3.4,3.6
M4,4,0.7,0.61,3.55,7,2.8,2.1,14,20,33,4.3,9,0.8,4.3,4.5,4.8
M5,5,0.8,0.69,4.48,8,3.5,2.4,16,22,35,5.3,10,1,5.3,5.5,5.8
M6,6,1,0.87,5.35,10,4,3,18,24,37,6.4,12,1.6,6.4,6.6,7
M8,8,1.25,1.08,7.19,13,5.5,3.75,22,28,41,8.4,16,1.6,8.4,9,10
M10,10,1.5,1.30,9.03,17,6.4,4.5,26,32,45,10.5,20,2,10.5,11,12
M12,12,1.75,1.52,10.86,19,8,5.5,30,36,49,13,24,2.5,13,13.5,14.5
M14,14,2,1.73,12.70,22,9,6,34,40,53,15,28,2.5,15,15.5,16.5
M16,16,2,1.73,14.70,24,10,6,38,44,57,17,30,3,17,17.5,18.5
M18,18,2.5,2.17,16.38,27,11.5,7.5,42,48,61,19,34,3,19,20,21
M20,20,2.5,2.17,18.38,30,12.5,7.5,46,52,65,21,37,3,21,22,24
M22,22,2.5,2.17,20.38,32,14,7.5,50,56,69,23,39,3,23,24,26
M24,24,3,2.60,22.05,36,15,9,54,60,73,25,44,4,25,26,28
M27,27,3,2.60,25.05,41,17,9,60,66,79,28,50,4,28,30,32
M30,30,3.5,3.03,27.73,46,19,10.5,66,72,85,31,56,4,31,33,35
M33,33,3.5,3.03,30.73,50,21,10.5,72,78,91,34,60,5,34,36,39
M36,36,4,3.46,33.40,55,23,12,78,84,97,37,66,5,37,39,42
M39,39,4,3.46,36.40,60,25,12,84,90,103,40,72,6,40,43,45
M42,42,4.5,3.90,39.08,65,26,13.5,90,96,109,43,78,7,43,46,48
M45,45,4.5,3.90,42.08,70,28,13.5,96,102,115,46,85,7,47,49,52
M48,48,5,4.33,44.75,75,30,15,102,108,121,50,92,8,50,52,56
M52,52,5,4.33,48.75,80,33,15,110,116,129,54,98,8,54,57,61
M56,56,5.5,4.76,52.43,85,35,16.5,118,124,137,58,105,9,58,62,66
M64,64,6,5.20,60.10,95,40,18,134,140,153,66,120,9,66,70,74
